geoname,cvap_est
"Grundy, Iowa",9345
"Guthrie, Iowa",8185
"Hamilton, Iowa",11190
"Hancock, Iowa",8380
"Hardin, Iowa",13375
"Harrison, Iowa",11220
"Henry, Iowa",15840
"Howard, Iowa",6980
"Humboldt, Iowa",7180
"Ida, Iowa",5240
"Iowa, Iowa",12590
"Jackson, Iowa",15105
"Jasper, Iowa",29050
"Jefferson, Iowa",11855
"Johnson, Iowa",113510
"Jones, Iowa",16355
"Keokuk, Iowa",7670
"Kossuth, Iowa",11250
"Lee, Iowa",26160
"Linn, Iowa",171810
"Louisa, Iowa",7855
"Lucas, Iowa",6605
"Lyon, Iowa",8525
"Madison, Iowa",12440
"Mahaska, Iowa",16660
"Marion, Iowa",25455
"Marshall, Iowa",26960
"Mills, Iowa",10985
"Mitchell, Iowa",7935
"Monona, Iowa",6760
"Monroe, Iowa",5770
"Montgomery, Iowa",7955
"Muscatine, Iowa",30935
"O'Brien, Iowa",10475
"Osceola, Iowa",4580
"Page, Iowa",12255
"Palo Alto, Iowa",6745
"Plymouth, Iowa",18645
"Pocahontas, Iowa",5360
"Polk, Iowa",350695
"Pottawattamie, Iowa",69865
"Poweshiek, Iowa",14475
"Ringgold, Iowa",3535
"Sac, Iowa",7435
"Scott, Iowa",130235
"Shelby, Iowa",9025
"Sioux, Iowa",25090
"Story, Iowa",77110
"Tama, Iowa",12400
"Taylor, Iowa",4375
"Union, Iowa",9140
"Van Buren, Iowa",5530
"Wapello, Iowa",25400
"Warren, Iowa",39515
"Washington, Iowa",16575
"Wayne, Iowa",4765
"Webster, Iowa",28585
"Winnebago, Iowa",8290
"Winneshiek, Iowa",16085
"Woodbury, Iowa",73210
"Worth, Iowa",5860
"Wright, Iowa",9285
"Allen, Kansas",9550
"Anderson, Kansas",5855
"Atchison, Kansas",12605
"Barber, Kansas",3060
"Barton, Kansas",18760
"Bourbon, Kansas",10570
"Brown, Kansas",7015
"Butler, Kansas",49620
"Chase, Kansas",1950
"Chautauqua, Kansas",2595
"Cherokee, Kansas",14845
"Cheyenne, Kansas",1960
"Clark, Kansas",1470
"Clay, Kansas",6160
"Cloud, Kansas",6695
"Coffey, Kansas",6490
"Comanche, Kansas",1410
"Cowley, Kansas",25895
"Crawford, Kansas",30085
"Decatur, Kansas",2185
"Dickinson, Kansas",14210
"Doniphan, Kansas",5970
"Douglas, Kansas",93465
"Edwards, Kansas",2025
"Elk, Kansas",1890
"Ellis, Kansas",22475
"Ellsworth, Kansas",5170
"Finney, Kansas",22285
"Ford, Kansas",19190
"Franklin, Kansas",19570
"Geary, Kansas",23980
"Gove, Kansas",2025
"Graham, Kansas",1930
"Grant, Kansas",4065
"Gray, Kansas",3545
"Greeley, Kansas",865
"Greenwood, Kansas",4690
"Hamilton, Kansas",1390
"Harper, Kansas",3985
"Harvey, Kansas",25355
"Haskell, Kansas",2195
"Hodgeman, Kansas",1315
"Jackson, Kansas",9795
"Jefferson, Kansas",14170
"Jewell, Kansas",2315
"Johnson, Kansas",442140
"Kearny, Kansas",2480
"Kingman, Kansas",5760
"Kiowa, Kansas",1815
"Labette, Kansas",15165
"Lane, Kansas",1175
"Leavenworth, Kansas",61390
"Lincoln, Kansas",2265
"Linn, Kansas",7525
"Logan, Kansas",2020
"Lyon, Kansas",23040
"McPherson, Kansas",23080
"Marion, Kansas",9295
"Marshall, Kansas",7530
"Meade, Kansas",2715
"Miami, Kansas",26025
"Mitchell, Kansas",4475
"Montgomery, Kansas",23580
"Morris, Kansas",4185
"Morton, Kansas",1800
"Nemaha, Kansas",7410
"Neosho, Kansas",11780
"Ness, Kansas",2020
"Norton, Kansas",4325
"Osage, Kansas",12025
"Osborne, Kansas",2730
"Ottawa, Kansas",4410
"Pawnee, Kansas",5380
"Phillips, Kansas",3825
"Pottawatomie, Kansas",17860
"Pratt, Kansas",6835
"Rawlins, Kansas",1930
"Reno, Kansas",47245
"Republic, Kansas",3585
"Rice, Kansas",7095
"Riley, Kansas",57655
"Rooks, Kansas",3880
"Rush, Kansas",2320
"Russell, Kansas",5180
"Saline, Kansas",40710
"Scott, Kansas",3420
"Sedgwick, Kansas",369210
"Seward, Kansas",11535
"Shawnee, Kansas",132925
"Sheridan, Kansas",1775
"Sherman, Kansas",4455
"Smith, Kansas",2860
"Stafford, Kansas",2945
"Stanton, Kansas",1355
"Stevens, Kansas",3265
"Sumner, Kansas",16900
"Thomas, Kansas",5745
"Trego, Kansas",2260
"Wabaunsee, Kansas",5305
"Wallace, Kansas",1115
"Washington, Kansas",4150
"Wichita, Kansas",1520
"Wilson, Kansas",6560
"Woodson, Kansas",2490
"Wyandotte, Kansas",103995
"Adair, Kentucky",14660
"Allen, Kentucky",15770
"Anderson, Kentucky",18185
"Ballard, Kentucky",6155
"Barren, Kentucky",33555
"Bath, Kentucky",9515
"Bell, Kentucky",18980
"Boone, Kentucky",96865
"Bourbon, Kentucky",15065
"Boyd, Kentucky",37690
"Boyle, Kentucky",24115
"Bracken, Kentucky",6425
"Breathitt, Kentucky",10750
"Breckinridge, Kentucky",15845
"Bullitt, Kentucky",63660
"Butler, Kentucky",9250
"Caldwell, Kentucky",9690
"Calloway, Kentucky",30090
"Campbell, Kentucky",72810
"Carlisle, Kentucky",3665
"Carroll, Kentucky",7815
"Carter, Kentucky",20595
"Casey, Kentucky",12175
"Christian, Kentucky",51880
"Clark, Kentucky",28350
"Clay, Kentucky",15975
"Clinton, Kentucky",7195
"Crittenden, Kentucky",6945
"Cumberland, Kentucky",4630
"Daviess, Kentucky",76065
"Edmonson, Kentucky",9900
"Elliott, Kentucky",6095
"Estill, Kentucky",10970
"Fayette, Kentucky",236825
"Fleming, Kentucky",11350
"Floyd, Kentucky",27735
"Franklin, Kentucky",39325
"Fulton, Kentucky",5100
"Gallatin, Kentucky",6640
"Garrard, Kentucky",13170
"Grant, Kentucky",18410
"Graves, Kentucky",27535
"Grayson, Kentucky",20030
"Green, Kentucky",8800
"Greenup, Kentucky",28080
"Hancock, Kentucky",6855
"Hardin, Kentucky",81905
"Harlan, Kentucky",20380
"Harrison, Kentucky",14460
"Hart, Kentucky",14535
"Henderson, Kentucky",34410
"Henry, Kentucky",11880
"Hickman, Kentucky",3590
"Hopkins, Kentucky",34485
"Jackson, Kentucky",9985
"Jefferson, Kentucky",576835
"Jessamine, Kentucky",39850
"Johnson, Kentucky",17525
"Kenton, Kentucky",125840
"Knott, Kentucky",11395
"Knox, Kentucky",23005
"Larue, Kentucky",11510
"Laurel, Kentucky",48035
"Lawrence, Kentucky",12190
"Lee, Kentucky",5825
"Leslie, Kentucky",8220
"Letcher, Kentucky",16865
"Lewis, Kentucky",10060
"Lincoln, Kentucky",18455
"Livingston, Kentucky",7145
"Logan, Kentucky",20855
"Lyon, Kentucky",7385
"McCracken, Kentucky",52410
"McCreary, Kentucky",13145
"McLean, Kentucky",6975
"Madison, Kentucky",72525
"Magoffin, Kentucky",9010
"Marion, Kentucky",14690
"Marshall, Kentucky",25220
"Martin, Kentucky",9055
"Mason, Kentucky",13055
"Meade, Kentucky",23140
"Menifee, Kentucky",4810
"Mercer, Kentucky",17375
"Metcalfe, Kentucky",7830
"Monroe, Kentucky",8620
"Montgomery, Kentucky",21480
"Morgan, Kentucky",11125
"Muhlenberg, Kentucky",24065
"Nelson, Kentucky",35380
"Nicholas, Kentucky",5795
"Ohio, Kentucky",17615
"Oldham, Kentucky",50055
"Owen, Kentucky",8780
"Owsley, Kentucky",3305
"Pendleton, Kentucky",11160
"Perry, Kentucky",21415
"Pike, Kentucky",46105
"Powell, Kentucky",9935
"Pulaski, Kentucky",49975
"Robertson, Kentucky",1645
"Rockcastle, Kentucky",12695
"Rowan, Kentucky",19565
"Russell, Kentucky",13730
"Scott, Kentucky",42465
"Shelby, Kentucky",35530
"Simpson, Kentucky",14945
"Spencer, Kentucky",14965
"Taylor, Kentucky",19855
"Todd, Kentucky",8750
"Trigg, Kentucky",10905
"Trimble, Kentucky",6595
"Union, Kentucky",10890
"Warren, Kentucky",97310
"Washington, Kentucky",9200
"Wayne, Kentucky",15325
"Webster, Kentucky",9690
"Whitley, Kentucky",27160
"Wolfe, Kentucky",5065
"Woodford, Kentucky",20075
"Acadia Parish, Louisiana",42495
"Allen Parish, Louisiana",16290
"Ascension Parish, Louisiana",90660
"Assumption Parish, Louisiana",16540
"Avoyelles Parish, Louisiana",29890
"Beauregard Parish, Louisiana",27160
"Bienville Parish, Louisiana",9935
"Bossier Parish, Louisiana",94525
"Caddo Parish, Louisiana",178015
"Calcasieu Parish, Louisiana",155315
"Caldwell Parish, Louisiana",7430
"Cameron Parish, Louisiana",4145
"Catahoula Parish, Louisiana",6940
"Claiborne Parish, Louisiana",11495
"Concordia Parish, Louisiana",13880
"De Soto Parish, Louisiana",20375
"East Baton Rouge Parish, Louisiana",338915
"East Carroll Parish, Louisiana",5695
"East Feliciana Parish, Louisiana",16075
"Evangeline Parish, Louisiana",23210
"Franklin Parish, Louisiana",14820
"Grant Parish, Louisiana",17040
"Iberia Parish, Louisiana",51330
"Iberville Parish, Louisiana",23570
"Jackson Parish, Louisiana",11680
"Jefferson Parish, Louisiana",312105
"Jefferson Davis Parish, Louisiana",23995
"Lafayette Parish, Louisiana",179200
"Lafourche Parish, Louisiana",73770
"LaSalle Parish, Louisiana",11445
"Lincoln Parish, Louisiana",38010
"Livingston Parish, Louisiana",104190
"Madison Parish, Louisiana",7400
"Morehouse Parish, Louisiana",19465
"Natchitoches Parish, Louisiana",28770
"Orleans Parish, Louisiana",296255
"Ouachita Parish, Louisiana",119080
"Plaquemines Parish, Louisiana",17050
"Pointe Coupee Parish, Louisiana",16145
"Rapides Parish, Louisiana",95730
"Red River Parish, Louisiana",5825
"Richland Parish, Louisiana",15240
"Sabine Parish, Louisiana",16940
"St. Bernard Parish, Louisiana",31755
"St. Charles Parish, Louisiana",38635
"St. Helena Parish, Louisiana",8495
"St. James Parish, Louisiana",15445
"St. John the Baptist Parish, Louisiana",31100
"St. Landry Parish, Louisiana",60085
"St. Martin Parish, Louisiana",38795
"St. Mary Parish, Louisiana",36185
"St. Tammany Parish, Louisiana",198355
"Tangipahoa Parish, Louisiana",100000
"Tensas Parish, Louisiana",3200
"Terrebonne Parish, Louisiana",80015
"Union Parish, Louisiana",16215
"Vermilion Parish, Louisiana",42370
"Vernon Parish, Louisiana",35630
"Washington Parish, Louisiana",34870
"Webster Parish, Louisiana",28185
"West Baton Rouge Parish, Louisiana",20620
"West Carroll Parish, Louisiana",7490
"West Feliciana Parish, Louisiana",12715
"Winn Parish, Louisiana",10590
"Androscoggin, Maine",85600
"Aroostook, Maine",54045
"Cumberland, Maine",240560
"Franklin, Maine",24355
"Hancock, Maine",45920
"Kennebec, Maine",99210
"Knox, Maine",33230
"Lincoln, Maine",29315
"Oxford, Maine",47505
"Penobscot, Maine",123350
"Piscataquis, Maine",13915
"Sagadahoc, Maine",29650
"Somerset, Maine",40910
"Waldo, Maine",32230
"Washington, Maine",24845
"York, Maine",171235
"Allegany, Maryland",55605
"Anne Arundel, Maryland",436575
"Baltimore, Maryland",629170
"Calvert, Maryland",70925
"Caroline, Maryland",24255
"Carroll, Maryland",132440
"Cecil, Maryland",78970
"Charles, Maryland",123070
"Dorchester, Maryland",25110
"Frederick, Maryland",197980
"Garrett, Maryland",23490
"Harford, Maryland",199230
"Howard, Maryland",229440
"Kent, Maryland",15835
"Montgomery, Maryland",685025
"Prince George's, Maryland",633380
"Queen Anne's, Maryland",38710
"St. Mary's, Maryland",84110
"Somerset, Maryland",20040
"Talbot, Maryland",29400
"Washington, Maryland",117185
"Wicomico, Maryland",76540
"Worcester, Maryland",42570
"Baltimore city, Maryland",442180
"Barnstable, Massachusetts",187565
"Berkshire, Massachusetts",105025
"Bristol, Massachusetts",433020
"Dukes, Massachusetts",15190
"Essex, Massachusetts",579200
"Franklin, Massachusetts",57440
"Hampden, Massachusetts",351605
"Hampshire, Massachusetts",124440
"Middlesex, Massachusetts",1146285
"Nantucket, Massachusetts",10150
"Norfolk, Massachusetts",524025
"Plymouth, Massachusetts",399755
"Suffolk, Massachusetts",549765
"Worcester, Massachusetts",633685
"Alcona, Michigan",8870
"Alger, Michigan",7210
"Allegan, Michigan",89870
"Alpena, Michigan",23345
"Antrim, Michigan",19375
"Arenac, Michigan",12220
"Baraga, Michigan",6820
"Barry, Michigan",48490
"Bay, Michigan",82935
"Benzie, Michigan",14830
"Berrien, Michigan",117045
"Branch, Michigan",33160
"Calhoun, Michigan",100755
"Cass, Michigan",40595
"Charlevoix, Michigan",21305
"Cheboygan, Michigan",21490
"Chippewa, Michigan",29590
"Clare, Michigan",24790
"Clinton, Michigan",61110
"Crawford, Michigan",10825
"Delta, Michigan",29615
"Dickinson, Michigan",20690
"Eaton, Michigan",85050
"Emmet, Michigan",27635
"Genesee, Michigan",310995
"Gladwin, Michigan",20600
"Gogebic, Michigan",12160
"Grand Traverse, Michigan",75860
"Gratiot, Michigan",33210
"Hillsdale, Michigan",35740
"Houghton, Michigan",28630
"Huron, Michigan",25245
"Ingham, Michigan",213155
"Ionia, Michigan",52055
"Iosco, Michigan",20965
"Iron, Michigan",9580
"Isabella, Michigan",52650
"Jackson, Michigan",125370
"Kalamazoo, Michigan",198010
"Kalkaska, Michigan",14195
"Kent, Michigan",474805
"Keweenaw, Michigan",1760
"Lake, Michigan",10410
"Lapeer, Michigan",69385
"Leelanau, Michigan",18810
"Lenawee, Michigan",77560
"Livingston, Michigan",152620
"Luce, Michigan",4410
"Mackinac, Michigan",8785
"Macomb, Michigan",669295
"Manistee, Michigan",20550
"Marquette, Michigan",54110
"Mason, Michigan",23110
"Mecosta, Michigan",32095
"Menominee, Michigan",19080
"Midland, Michigan",65080
"Missaukee, Michigan",11555
"Monroe, Michigan",121000
"Montcalm, Michigan",52015
"Montmorency, Michigan",7850
"Muskegon, Michigan",134640
"Newaygo, Michigan",38505
"Oakland, Michigan",944990
"Oceana, Michigan",19865
"Ogemaw, Michigan",16930
"Ontonagon, Michigan",5170
"Osceola, Michigan",17765
"Oscoda, Michigan",6630
"Otsego, Michigan",19790
"Ottawa, Michigan",221190
"Presque Isle, Michigan",10980
"Roscommon, Michigan",19945
"Saginaw, Michigan",147510
"St. Clair, Michigan",125980
"St. Joseph, Michigan",44745
"Sanilac, Michigan",31870
"Schoolcraft, Michigan",6640
"Shiawassee, Michigan",53645
"Tuscola, Michigan",42215
"Van Buren, Michigan",55785
"Washtenaw, Michigan",281585
"Wayne, Michigan",1300680
"Wexford, Michigan",25870
"Aitkin, Minnesota",13230
"Anoka, Minnesota",268140
"Becker, Minnesota",26600
"Beltrami, Minnesota",34450
"Benton, Minnesota",29925
"Big Stone, Minnesota",4020
"Blue Earth, Minnesota",53270
"Brown, Minnesota",20025
"Carlton, Minnesota",28085
"Carver, Minnesota",77310
"Cass, Minnesota",23930
"Chippewa, Minnesota",9070
"Chisago, Minnesota",43650
"Clay, Minnesota",48065
"Clearwater, Minnesota",6380
"Cook, Minnesota",4645
"Cottonwood, Minnesota",8215
"Crow Wing, Minnesota",52255
"Dakota, Minnesota",317505
"Dodge, Minnesota",15155
"Douglas, Minnesota",30565
"Faribault, Minnesota",10705
"Fillmore, Minnesota",15880
"Freeborn, Minnesota",23255
"Goodhue, Minnesota",36530
"Grant, Minnesota",4660
"Hennepin, Minnesota",928120
"Houston, Minnesota",14665
"Hubbard, Minnesota",16855
"Isanti, Minnesota",31150
"Itasca, Minnesota",35800
"Jackson, Minnesota",7725
"Kanabec, Minnesota",12645
"Kandiyohi, Minnesota",31075
"Kittson, Minnesota",3250
"Koochiching, Minnesota",9785
"Lac qui Parle, Minnesota",5280
"Lake, Minnesota",8820
"Lake of the Woods, Minnesota",3050
"Le Sueur, Minnesota",21600
"Lincoln, Minnesota",4280
"Lyon, Minnesota",18070
"McLeod, Minnesota",27965
"Mahnomen, Minnesota",3680
"Marshall, Minnesota",6880
"Martin, Minnesota",15415
"Meeker, Minnesota",17535
"Mille Lacs, Minnesota",20260
"Morrison, Minnesota",26005
"Mower, Minnesota",27685
"Murray, Minnesota",6255
"Nicollet, Minnesota",26230
"Nobles, Minnesota",13580
"Norman, Minnesota",4870
"Olmsted, Minnesota",116650
"Otter Tail, Minnesota",46600
"Pennington, Minnesota",10740
"Pine, Minnesota",23320
"Pipestone, Minnesota",6620
"Polk, Minnesota",23170
"Pope, Minnesota",8915
"Ramsey, Minnesota",391665
"Red Lake, Minnesota",2945
"Redwood, Minnesota",11475
"Renville, Minnesota",11075
"Rice, Minnesota",49520
"Rock, Minnesota",7185
"Roseau, Minnesota",11445
"St. Louis, Minnesota",161050
"Scott, Minnesota",106435
"Sherburne, Minnesota",71350
"Sibley, Minnesota",11115
"Stearns, Minnesota",117455
"Steele, Minnesota",27385
"Stevens, Minnesota",7230
"Swift, Minnesota",7315
"Todd, Minnesota",18585
"Traverse, Minnesota",2580
"Wabasha, Minnesota",16620
"Wadena, Minnesota",10245
"Waseca, Minnesota",14255
"Washington, Minnesota",197905
"Watonwan, Minnesota",7670
"Wilkin, Minnesota",5045
"Winona, Minnesota",40115
"Wright, Minnesota",101940
"Yellow Medicine, Minnesota",7210
"Adams, Mississippi",21670
"Alcorn, Mississippi",26640
"Amite, Mississippi",10060
"Attala, Mississippi",13330
"Benton, Mississippi",5715
"Bolivar, Mississippi",22835
"Calhoun, Mississippi",9845
"Carroll, Mississippi",8160
"Chickasaw, Mississippi",12430
"Choctaw, Mississippi",6470
"Claiborne, Mississippi",7070
"Clarke, Mississippi",12055
"Clay, Mississippi",14370
"Coahoma, Mississippi",15310
"Copiah, Mississippi",21730
"Covington, Mississippi",13780
"DeSoto, Mississippi",135925
"Forrest, Mississippi",59115
"Franklin, Mississippi",5915
"George, Mississippi",17795
"Greene, Mississippi",11030
"Grenada, Mississippi",16120
"Hancock, Mississippi",36720
"Harrison, Mississippi",156000
"Hinds, Mississippi",170920
"Holmes, Mississippi",12625
"Humphreys, Mississippi",5720
"Issaquena, Mississippi",1080
"Itawamba, Mississippi",18780
"Jackson, Mississippi",109155
"Jasper, Mississippi",12575
"Jefferson, Mississippi",5600
"Jefferson Davis, Mississippi",9050
"Jones, Mississippi",49280
"Kemper, Mississippi",7335
"Lafayette, Mississippi",44810
"Lamar, Mississippi",48035
"Lauderdale, Mississippi",55105
"Lawrence, Mississippi",8870
"Leake, Mississippi",16040
"Lee, Mississippi",61285
"Leflore, Mississippi",20030
"Lincoln, Mississippi",26650
"Lowndes, Mississippi",44040
"Madison, Mississippi",80405
"Marion, Mississippi",18650
"Marshall, Mississippi",26740
"Monroe, Mississippi",26315
"Montgomery, Mississippi",7545
"Neshoba, Mississippi",20880
"Newton, Mississippi",16150
"Noxubee, Mississippi",7670
"Oktibbeha, Mississippi",40960
"Panola, Mississippi",25000
"Pearl River, Mississippi",43415
"Perry, Mississippi",8925
"Pike, Mississippi",29735
"Pontotoc, Mississippi",22290
"Prentiss, Mississippi",19225
"Quitman, Mississippi",4710
"Rankin, Mississippi",119820
"Scott, Mississippi",19275
"Sharkey, Mississippi",2975
"Simpson, Mississippi",19570
"Smith, Mississippi",10975
"Stone, Mississippi",14365
"Sunflower, Mississippi",20125
"Tallahatchie, Mississippi",9865
"Tate, Mississippi",21460
"Tippah, Mississippi",16245
"Tishomingo, Mississippi",14445
"Tunica, Mississippi",6980
"Union, Mississippi",20350
"Walthall, Mississippi",10605
"Warren, Mississippi",33450
"Washington, Mississippi",33190
"Wayne, Mississippi",14460
"Webster, Mississippi",7565
"Wilkinson, Mississippi",6750
"Winston, Mississippi",13825
"Yalobusha, Mississippi",9770
"Yazoo, Mississippi",21135
"Adair, Missouri",19950
"Andrew, Missouri",13880
"Atchison, Missouri",4165
"Audrain, Missouri",19010
"Barry, Missouri",26105
"Barton, Missouri",8905
"Bates, Missouri",12280
"Benton, Missouri",16105
"Bollinger, Missouri",8375
"Boone, Missouri",140460
"Buchanan, Missouri",64110
"Butler, Missouri",32275
"Caldwell, Missouri",6735
"Callaway, Missouri",35110
"Camden, Missouri",35235
"Cape Girardeau, Missouri",63185
"Carroll, Missouri",6585
"Carter, Missouri",4135
"Cass, Missouri",82085
"Cedar, Missouri",10820
"Chariton, Missouri",5705
"Christian, Missouri",65910
"Clark, Missouri",5045
"Clay, Missouri",188705
"Clinton, Missouri",16055
"Cole, Missouri",58775
"Cooper, Missouri",13100
"Crawford, Missouri",17810
"Dade, Missouri",6025
"Dallas, Missouri",12975
"Daviess, Missouri",6280
"DeKalb, Missouri",9570
"Dent, Missouri",11120
"Douglas, Missouri",9105
"Dunklin, Missouri",20285
"Franklin, Missouri",80460
"Gasconade, Missouri",11725
"Gentry, Missouri",4615
"Greene, Missouri",232280
"Grundy, Missouri",7335
"Harrison, Missouri",6140
"Henry, Missouri",17210
"Hickory, Missouri",7025
"Holt, Missouri",3395
"Howard, Missouri",7885
"Howell, Missouri",30160
"Iron, Missouri",7485
"Jackson, Missouri",528060
"Jasper, Missouri",89830
"Jefferson, Missouri",173875
"Johnson, Missouri",41465
"Knox, Missouri",2805
"Laclede, Missouri",26910
"Lafayette, Missouri",25095
"Lawrence, Missouri",27920
"Lewis, Missouri",7775
"Lincoln, Missouri",44890
"Linn, Missouri",9040
"Livingston, Missouri",11210
"McDonald, Missouri",15805
"Macon, Missouri",11560
"Madison, Missouri",9610
"Maries, Missouri",6690
"Marion, Missouri",21795
"Mercer, Missouri",2600
"Miller, Missouri",18890
"Mississippi, Missouri",9525
"Moniteau, Missouri",11340
"Monroe, Missouri",6715
"Montgomery, Missouri",8825
"Morgan, Missouri",16305
"New Madrid, Missouri",12430
"Newton, Missouri",43785
"Nodaway, Missouri",17410
"Oregon, Missouri",6725
"Osage, Missouri",10285
"Ozark, Missouri",6990
"Pemiscot, Missouri",11495
"Perry, Missouri",14455
"Pettis, Missouri",30720
"Phelps, Missouri",34255
"Pike, Missouri",13630
"Platte, Missouri",79990
"Polk, Missouri",24425
"Pulaski, Missouri",40800
"Putnam, Missouri",3620
"Ralls, Missouri",8180
"Randolph, Missouri",19175
"Ray, Missouri",17810
"Reynolds, Missouri",4970
"Ripley, Missouri",8260
"St. Charles, Missouri",307290
"St. Clair, Missouri",7395
"Ste. Genevieve, Missouri",14535
"St. Francois, Missouri",52200
"St. Louis, Missouri",751160
"Saline, Missouri",17470
"Schuyler, Missouri",2980
"Scotland, Missouri",3320
"Scott, Missouri",28830
"Shannon, Missouri",5560
"Shelby, Missouri",4570
"Stoddard, Missouri",22370
"Stone, Missouri",25925
"Sullivan, Missouri",4310
"Taney, Missouri",43760
"Texas, Missouri",19460
"Vernon, Missouri",14925
"Warren, Missouri",27305
"Washington, Missouri",17945
"Wayne, Missouri",8890
"Webster, Missouri",28340
"Worth, Missouri",1580
"Wright, Missouri",13645
"St. Louis city, Missouri",233295
"Beaverhead, Montana",7760
"Big Horn, Montana",8735
"Blaine, Montana",4905
"Broadwater, Montana",5615
"Carbon, Montana",8700
"Carter, Montana",1085
"Cascade, Montana",65270
"Chouteau, Montana",4515
"Custer, Montana",9535
"Daniels, Montana",1230
"Dawson, Montana",6945
"Deer Lodge, Montana",8135
"Fallon, Montana",2180
"Fergus, Montana",9220
"Flathead, Montana",81785
"Gallatin, Montana",94645
"Garfield, Montana",755
"Glacier, Montana",9640
"Golden Valley, Montana",710
"Granite, Montana",2775
"Hill, Montana",11650
"Jefferson, Montana",9695
"Judith Basin, Montana",1515
"Lake, Montana",23965
"Lewis and Clark, Montana",55720
"Liberty, Montana",1465
"Lincoln, Montana",16185
"McCone, Montana",1450
"Madison, Montana",7315
"Meagher, Montana",1630
"Mineral, Montana",3665
"Missoula, Montana",95065
"Musselshell, Montana",3935
"Park, Montana",14320
"Petroleum, Montana",345
"Phillips, Montana",3165
"Pondera, Montana",4530
"Powder River, Montana",1445
"Powell, Montana",5945
"Prairie, Montana",935
"Ravalli, Montana",36215
"Richland, Montana",8210
"Roosevelt, Montana",7140
